mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_precision	mean_test_recall	model	param_C	param_activation	param_bootstrap	param_fit_intercept	param_gamma	param_hidden_layer_sizes	param_kernel	param_l1_ratio	param_learning_rate	param_max_depth	param_max_features	param_min_samples_leaf	param_min_samples_split	param_multi_class	param_n_estimators	param_n_neighbors	param_p	param_penalty	param_solver	param_tol	param_weights	params	rank_test_accuracy	rank_test_precision	rank_test_recall	split0_test_accuracy	split0_test_precision	split0_test_recall	split1_test_accuracy	split1_test_precision	split1_test_recall	split2_test_accuracy	split2_test_precision	split2_test_recall	split3_test_accuracy	split3_test_precision	split3_test_recall	split4_test_accuracy	split4_test_precision	split4_test_recall	std_fit_time	std_score_time	std_test_accuracy	std_test_precision	std_test_recall
0.07070937156677246	3.2487141609191896	0.21581073283323715	0.21581073283323715	0.21581073283323715	KNeighbors																2	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 2}	7	7	7	0.2571428571428571	0.2571428571428571	0.2571428571428571	0.20114942528735633	0.20114942528735633	0.20114942528735633	0.21613832853025935	0.21613832853025935	0.21613832853025935	0.2180232558139535	0.2180232558139535	0.2180232558139535	0.18604651162790697	0.18604651162790697	0.18604651162790697	0.004628121654993503	0.027617718006221363	0.02377037684907956	0.02377037684907956	0.02377037684907956
0.07729449272155761	3.5657030582427978	0.20600115406809003	0.20600115406809003	0.20600115406809003	KNeighbors																2	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 2}	10	10	10	0.18	0.18	0.18	0.20402298850574713	0.20402298850574713	0.20402298850574713	0.2132564841498559	0.2132564841498559	0.2132564841498559	0.23546511627906977	0.23546511627906977	0.23546511627906977	0.19767441860465115	0.19767441860465115	0.19767441860465115	0.013986899539097456	0.3307675062081757	0.01827429166767056	0.01827429166767056	0.01827429166767056
0.06884422302246093	3.855273962020874	0.24523946912867858	0.24523946912867858	0.24523946912867858	KNeighbors																2	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 2}	1	1	1	0.32857142857142857	0.32857142857142857	0.32857142857142857	0.22413793103448276	0.22413793103448276	0.22413793103448276	0.2420749279538905	0.2420749279538905	0.2420749279538905	0.24127906976744187	0.24127906976744187	0.24127906976744187	0.18895348837209303	0.18895348837209303	0.18895348837209303	0.016123110930867133	0.347699462856217	0.04610715341373935	0.04610715341373935	0.04610715341373935
0.05992903709411621	3.5814487457275392	0.23831506058857474	0.23831506058857474	0.23831506058857474	KNeighbors																2	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 2}	2	2	2	0.2342857142857143	0.2342857142857143	0.2342857142857143	0.21551724137931033	0.21551724137931033	0.21551724137931033	0.27089337175792505	0.27089337175792505	0.27089337175792505	0.2761627906976744	0.2761627906976744	0.2761627906976744	0.19476744186046513	0.19476744186046513	0.19476744186046513	0.0027312634271060487	0.031046066215767065	0.03131989994717269	0.03131989994717269	0.03131989994717269
0.0587730884552002	3.2104111671447755	0.20484708597807272	0.20484708597807272	0.20484708597807272	KNeighbors																5	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 5}	12	12	12	0.20857142857142857	0.20857142857142857	0.20857142857142857	0.20402298850574713	0.20402298850574713	0.20402298850574713	0.2017291066282421	0.2017291066282421	0.2017291066282421	0.2063953488372093	0.2063953488372093	0.2063953488372093	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.0029663935191883285	0.017239318926826144	0.0023930348701513477	0.0023930348701513477	0.0023930348701513477
0.05681257247924805	3.1577330589294434	0.19734564339296018	0.19734564339296018	0.19734564339296018	KNeighbors																5	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 5}	28	28	28	0.17142857142857143	0.17142857142857143	0.17142857142857143	0.20402298850574713	0.20402298850574713	0.20402298850574713	0.2017291066282421	0.2017291066282421	0.2017291066282421	0.2063953488372093	0.2063953488372093	0.2063953488372093	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.0025495335515827054	0.026190323508223225	0.013122656022067478	0.013122656022067478	0.013122656022067478
0.05939793586730957	3.6076220512390136	0.23254472013848818	0.23254472013848818	0.23254472013848818	KNeighbors																5	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 5}	3	3	3	0.26285714285714284	0.26285714285714284	0.26285714285714284	0.21551724137931033	0.21551724137931033	0.21551724137931033	0.2478386167146974	0.2478386167146974	0.2478386167146974	0.23255813953488372	0.23255813953488372	0.23255813953488372	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.006140006644380747	0.03232881799364142	0.02140595283218602	0.02140595283218602	0.02140595283218602
0.0566983699798584	3.4791352272033693	0.23139065204847087	0.23139065204847087	0.23139065204847087	KNeighbors																5	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 5}	4	4	4	0.22857142857142856	0.22857142857142856	0.22857142857142856	0.21839080459770116	0.21839080459770116	0.21839080459770116	0.25360230547550433	0.25360230547550433	0.25360230547550433	0.25290697674418605	0.25290697674418605	0.25290697674418605	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.001395124436977653	0.018792447728370354	0.019513113775977645	0.019513113775977645	0.019513113775977645
0.056968975067138675	3.2266590118408205	0.20427005193306405	0.20427005193306405	0.20427005193306405	KNeighbors																10	1				uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 10}	13	13	13	0.20857142857142857	0.20857142857142857	0.20857142857142857	0.20402298850574713	0.20402298850574713	0.20402298850574713	0.2017291066282421	0.2017291066282421	0.2017291066282421	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.002135393079689565	0.028718328785719307	0.0022987543125389627	0.0022987543125389627	0.0022987543125389627
0.062348556518554685	3.1770294189453123	0.20600115406809003	0.20600115406809003	0.20600115406809003	KNeighbors																10	1				distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 10}	10	10	10	0.21714285714285714	0.21714285714285714	0.21714285714285714	0.20402298850574713	0.20402298850574713	0.20402298850574713	0.2017291066282421	0.2017291066282421	0.2017291066282421	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.20348837209302326	0.007549819859035721	0.062142487616193204	0.005658429079894421	0.005658429079894421	0.005658429079894421
0.058466005325317386	3.5357193470001222	0.23023658395845356	0.23023658395845356	0.23023658395845356	KNeighbors																10	2				uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 10}	5	5	5	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.21264367816091953	0.21264367816091953	0.21264367816091953	0.22478386167146974	0.22478386167146974	0.22478386167146974	0.22093023255813954	0.22093023255813954	0.22093023255813954	0.2063953488372093	0.2063953488372093	0.2063953488372093	0.003975356831537103	0.06299805364904967	0.02863072899703679	0.02863072899703679	0.02863072899703679
0.05984077453613281	3.4948018074035643	0.23023658395845356	0.23023658395845356	0.23023658395845356	KNeighbors																10	2				distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 10}	5	5	5	0.26571428571428574	0.26571428571428574	0.26571428571428574	0.21551724137931033	0.21551724137931033	0.21551724137931033	0.23054755043227665	0.23054755043227665	0.23054755043227665	0.23255813953488372	0.23255813953488372	0.23255813953488372	0.2063953488372093	0.2063953488372093	0.2063953488372093	0.004577205082789105	0.018290921690823043	0.020288593554745084	0.020288593554745084	0.020288593554745084
